what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401797843737
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1401797868453
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401797904805
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401797929286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401797941301
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401797968693
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401797978090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401797978392
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1401797978446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401797978478
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1401797978487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401797978535
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401797981964
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1401797999081
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401798000448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401798002866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401798009841
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401798010419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401798013933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401798017069
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401798022302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401798023213
